Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_08_09-17_07_00
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1470776820574,-135.272,-0.47,-52.078,7.0E-4,-0.7086,0.0012,0.7056,75.57,-0.01152,1.0,0.0,true,111.66,-1.0,0,2,-53.54,-48.35
1470776820624,-134.599,-0.47,-52.072,7.0E-4,-0.7096,0.0012,0.7046,75.9,-0.01152,1.0,0.0,true,111.65,-1.0,0,2,-53.54,-48.35
1470776820673,-133.922,-0.47,-52.064,7.0E-4,-0.7106,0.0012,0.7036,76.24,-0.01152,1.0,0.0,true,111.64,-1.0,0,2,-53.54,-48.35
1470776820739,-133.243,-0.47,-52.054,7.0E-4,-0.7115,0.0012,0.7026,76.57,-0.01152,1.0,0.0,true,111.63,-1.0,0,2,-53.54,-48.35
1470776820809,-132.56,-0.47,-52.042,6.0E-4,-0.7125,0.0012,0.7017,76.91,-0.01073,1.0,0.0,true,111.62,-1.0,0,2,-53.54,-48.35
1470776820882,-131.875,-0.47,-52.028,7.0E-4,-0.7135,0.0012,0.7007,77.24,-0.00749,1.0,0.0,true,111.61,-1.0,0,2,-53.54,-48.35
1470776820952,-131.187,-0.47,-52.013,7.0E-4,-0.7143,0.0011,0.6999,77.58,-0.0042,1.0,0.0,true,111.59,-1.0,0,2,-53.54,-48.35
1470776821023,-130.495,-0.47,-51.997,8.0E-4,-0.7148,0.0011,0.6993,77.91,-0.0034,1.0,0.0,true,111.58,-1.0,0,2,-53.54,-48.35
1470776821096,-129.801,-0.47,-51.981,8.0E-4,-0.7152,0.001,0.6989,78.25,-0.0034,1.0,0.0,true,111.56,-1.0,0,2,-53.54,-48.35
1470776821164,-129.104,-0.47,-51.963,8.0E-4,-0.7155,0.001,0.6986,78.59,-0.0034,1.0,0.0,true,111.54,-1.0,0,2,-53.54,-48.35
1470776821236,-128.404,-0.47,-51.946,8.0E-4,-0.7158,0.001,0.6983,78.92,-0.00255,1.0,0.0,true,111.53,-1.0,0,2,-53.54,-48.35
1470776821304,-127.701,-0.47,-51.928,8.0E-4,-0.716,0.001,0.6981,79.26,-9.6E-4,1.0,0.0,true,111.51,-1.0,0,2,-53.54,-48.35
1470776821374,-126.994,-0.47,-51.909,9.0E-4,-0.7162,0.001,0.6979,79.6,6.4E-4,1.0,0.0,true,111.49,-1.0,0,2,-53.54,-48.35
1470776821444,-126.285,-0.47,-51.891,9.0E-4,-0.7163,9.0E-4,0.6978,79.93,0.00308,1.0,0.0,true,111.47,-1.0,0,2,-53.54,-48.35
1470776821513,-125.573,-0.47,-51.873,9.0E-4,-0.7161,9.0E-4,0.698,80.27,0.00638,1.0,0.0,true,111.45,-1.0,0,2,-53.54,-48.35
