Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml,,,,,,,,,,,,,,,,,
Date-Time, 2016_08_09-16_57_02,,,,,,,,,,,,,,,,,
Driver, TestDriver,,,,,,,,,,,,,,,,,
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1], Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1.47078E+12,-135.493,-0.47,-52.417,0.0011,-0.6983,8.00E-04,0.7158,52.8,0.0129,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-135.022,-0.47,-52.431,0.0011,-0.6976,8.00E-04,0.7165,53.15,0.0137,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-134.548,-0.47,-52.447,0.0011,-0.6968,8.00E-04,0.7173,53.5,0.0145,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-134.07,-0.47,-52.463,0.0011,-0.6959,7.00E-04,0.7181,53.86,0.0129,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-133.59,-0.47,-52.481,0.0011,-0.6951,7.00E-04,0.7189,54.22,0.01041,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-133.106,-0.47,-52.5,0.0011,-0.6944,8.00E-04,0.7196,54.58,0.00961,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-132.62,-0.47,-52.519,0.001,-0.6937,8.00E-04,0.7202,54.94,0.00882,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-132.13,-0.47,-52.54,0.001,-0.6931,8.00E-04,0.7208,55.3,-0.00908,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-131.636,-0.47,-52.559,9.00E-04,-0.6931,0.001,0.7209,55.66,-0.00908,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-131.14,-0.47,-52.577,8.00E-04,-0.6935,0.0011,0.7204,56.02,-0.01073,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-130.64,-0.47,-52.594,7.00E-04,-0.6941,0.0011,0.7198,56.39,-0.01317,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-130.137,-0.47,-52.61,7.00E-04,-0.6949,0.0011,0.7191,56.75,-0.01561,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-129.631,-0.47,-52.624,7.00E-04,-0.6958,0.0011,0.7183,57.12,-0.01726,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-129.121,-0.47,-52.636,7.00E-04,-0.6968,0.0011,0.7173,57.49,-0.01805,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-128.608,-0.47,-52.647,7.00E-04,-0.6979,0.0011,0.7162,57.85,-0.0189,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-128.092,-0.47,-52.657,7.00E-04,-0.6991,0.0012,0.715,58.22,-0.02134,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-127.572,-0.47,-52.664,7.00E-04,-0.7004,0.0012,0.7137,58.59,-0.02623,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-127.049,-0.47,-52.668,6.00E-04,-0.702,0.0012,0.7122,58.96,-0.03031,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-126.523,-0.47,-52.669,5.00E-04,-0.7038,0.0013,0.7104,59.33,-0.03031,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-125.994,-0.47,-52.668,5.00E-04,-0.7058,0.0014,0.7085,59.7,-0.03031,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-125.461,-0.47,-52.663,5.00E-04,-0.7078,0.0014,0.7064,60.07,-0.03192,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-124.925,-0.47,-52.654,5.00E-04,-0.7098,0.0014,0.7044,60.44,-0.03192,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-124.386,-0.47,-52.643,5.00E-04,-0.712,0.0014,0.7022,60.81,-0.03031,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-123.843,-0.47,-52.628,5.00E-04,-0.7141,0.0014,0.7001,61.19,-0.02458,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-123.298,-0.47,-52.611,5.00E-04,-0.716,0.0013,0.6981,61.56,-0.02214,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-122.749,-0.47,-52.591,6.00E-04,-0.7176,0.0012,0.6965,61.94,-0.02214,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47078E+12,-122.196,-0.47,-52.569,6.00E-04,-0.7191,0.0012,0.6949,62.31,-0.0197,1,0,TRUE,-1,-1,0,2,-53.54,-48.35
