Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_08_16-18_29_28
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1471386568084,-135.409,-0.47,-50.566,6.0E-4,-0.7192,0.0011,0.6948,62.42,-0.01519,0.7656214,0.0,true,110.35,-1.0,0,2,-53.54,-48.35
1471386568155,-134.854,-0.47,-50.543,7.0E-4,-0.7204,0.0011,0.6936,62.69,-0.01519,0.7656214,0.0,true,110.32,-1.0,0,2,-53.54,-48.35
1471386568227,-134.295,-0.47,-50.518,7.0E-4,-0.7214,0.0011,0.6925,62.95,-0.01519,0.7656214,0.0,true,110.3,-1.0,0,2,-53.54,-48.35
1471386568298,-133.735,-0.47,-50.491,7.0E-4,-0.7225,0.0011,0.6914,63.21,-0.01519,0.7656214,0.0,true,110.27,-1.0,0,2,-53.54,-48.35
1471386568370,-133.172,-0.47,-50.463,6.0E-4,-0.7235,0.0011,0.6903,63.47,-0.01439,0.7656214,0.0,true,110.24,-1.0,0,2,-53.54,-48.35
1471386568441,-132.607,-0.47,-50.433,6.0E-4,-0.7245,0.0011,0.6892,63.74,-0.01195,0.7656214,0.0,true,110.21,-1.0,0,2,-53.54,-48.35
1471386568512,-132.04,-0.47,-50.401,7.0E-4,-0.7255,0.0011,0.6883,64.0,-0.00218,0.7656214,0.0,true,110.18,-1.0,0,2,-53.54,-48.35
1471386568756,-131.471,-0.47,-50.369,8.0E-4,-0.726,0.001,0.6877,64.26,0.04836,0.7656214,0.0,true,110.15,-1.0,0,2,-53.54,-48.35
1471386568808,-130.899,-0.47,-50.344,0.0013,-0.7247,5.0E-4,0.689,64.47,0.0516,0.7656214,0.0,true,110.12,-1.0,0,2,-53.54,-48.35
1471386568858,-130.325,-0.47,-50.327,0.0018,-0.7216,0.0,0.6923,64.71,0.05324,0.7656214,0.0,true,110.11,-1.0,0,2,-53.54,-48.35
1471386568909,-129.748,-0.47,-50.316,0.0019,-0.718,-1.0E-4,0.6961,64.94,0.05568,0.7656214,0.0,true,110.1,-1.0,0,2,-53.54,-48.35
1471386568958,-129.17,-0.47,-50.312,0.0019,-0.7141,-1.0E-4,0.7,65.15,0.05812,0.7656214,0.0,true,110.09,-1.0,0,2,-53.54,-48.35
1471386569007,-128.589,-0.47,-50.314,0.0019,-0.7101,-1.0E-4,0.7041,65.36,0.05977,0.7656214,0.0,true,110.09,-1.0,0,2,-53.54,-48.35
1471386569065,-128.007,-0.47,-50.324,0.0018,-0.7058,-1.0E-4,0.7084,65.57,0.06057,0.7656214,0.0,true,110.1,-1.0,0,2,-53.54,-48.35
1471386569119,-127.424,-0.469,-50.342,0.0018,-0.7014,-1.0E-4,0.7128,65.77,0.06221,0.7656214,0.0,true,110.12,-1.0,0,2,-53.54,-48.35
1471386569174,-126.838,-0.469,-50.367,0.0018,-0.6969,-2.0E-4,0.7172,65.98,0.06386,0.7656214,0.0,true,110.15,-1.0,0,2,-53.54,-48.35
