Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_08_16-18_02_40
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1471384960855,-135.74,-0.47,-52.672,8.0E-4,-0.7127,0.001,0.7015,52.66,-0.01359,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471384960934,-135.27,-0.47,-52.663,7.0E-4,-0.7133,0.0011,0.7009,53.01,-0.01683,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471384961000,-134.796,-0.47,-52.651,7.0E-4,-0.7141,0.0011,0.7,53.37,-0.01848,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471384961071,-134.32,-0.47,-52.638,7.0E-4,-0.7151,0.0012,0.699,53.72,-0.01848,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471384961145,-133.841,-0.47,-52.624,7.0E-4,-0.7162,0.0012,0.6979,54.08,-0.01848,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471384961216,-133.358,-0.47,-52.607,7.0E-4,-0.7173,0.0012,0.6967,54.43,-0.01848,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471384961288,-132.873,-0.47,-52.589,7.0E-4,-0.7184,0.0011,0.6956,54.79,-0.01848,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471384961360,-132.384,-0.47,-52.57,7.0E-4,-0.7195,0.0011,0.6945,55.16,-0.01768,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471384961432,-131.892,-0.47,-52.548,7.0E-4,-0.7206,0.0011,0.6933,55.52,-0.01519,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471384961503,-131.397,-0.47,-52.526,7.0E-4,-0.7216,0.0011,0.6923,55.88,-0.01195,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471384961576,-130.899,-0.47,-52.502,8.0E-4,-0.7225,0.0011,0.6914,56.25,-0.00707,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471384961647,-130.398,-0.47,-52.478,8.0E-4,-0.7231,0.001,0.6907,56.61,-0.00218,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471384961720,-129.893,-0.47,-52.454,9.0E-4,-0.7235,0.001,0.6904,56.98,0.00266,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471384961790,-129.385,-0.47,-52.43,0.001,-0.7235,9.0E-4,0.6903,57.35,0.0076,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471384962039,-128.874,-0.47,-52.407,0.001,-0.7232,8.0E-4,0.6906,57.72,0.01901,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471384962092,-128.359,-0.47,-52.386,0.0011,-0.7225,7.0E-4,0.6914,58.08,0.02389,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471384962152,-127.841,-0.47,-52.368,0.0013,-0.7212,6.0E-4,0.6927,58.45,0.02798,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
