Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_08_12-13_45_47
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1471023947114,-136.064,-0.469,-50.337,8.0E-4,-0.7044,7.0E-4,0.7098,37.49,0.00351,0.015640497,0.0,true,110.39,-1.0,0,2,-53.54,-48.35
1471023947356,-135.732,-0.469,-50.34,8.0E-4,-0.7043,7.0E-4,0.7099,37.39,0.00351,0.015640497,0.0,true,110.4,-1.0,0,2,-53.54,-48.35
1471023947403,-135.4,-0.469,-50.343,8.0E-4,-0.7041,7.0E-4,0.7101,37.29,0.00351,0.015640497,0.0,true,110.4,-1.0,0,2,-53.54,-48.35
1471023947451,-135.069,-0.469,-50.346,8.0E-4,-0.704,7.0E-4,0.7102,37.19,0.00351,0.015640497,0.0,true,110.4,-1.0,0,2,-53.54,-48.35
1471023947498,-134.739,-0.469,-50.35,8.0E-4,-0.7038,7.0E-4,0.7104,37.09,0.00351,0.015640497,0.0,true,110.41,-1.0,0,2,-53.54,-48.35
1471023947556,-134.41,-0.469,-50.353,8.0E-4,-0.7037,7.0E-4,0.7105,36.98,0.00351,0.015640497,0.0,true,110.41,-1.0,0,2,-53.54,-48.35
1471023947605,-134.082,-0.469,-50.357,8.0E-4,-0.7036,7.0E-4,0.7106,36.88,0.00351,0.015640497,0.0,true,110.41,-1.0,0,2,-53.54,-48.35
1471023947655,-133.754,-0.469,-50.361,8.0E-4,-0.7034,7.0E-4,0.7108,36.78,0.00351,0.015640497,0.0,true,110.42,-1.0,0,2,-53.54,-48.35
1471023947702,-133.428,-0.469,-50.365,8.0E-4,-0.7033,7.0E-4,0.7109,36.68,0.00351,0.015640497,0.0,true,110.42,-1.0,0,2,-53.54,-48.35
1471023947761,-133.102,-0.469,-50.369,8.0E-4,-0.7031,7.0E-4,0.7111,36.58,0.00351,0.015640497,0.0,true,110.43,-1.0,0,2,-53.54,-48.35
1471023947834,-132.778,-0.469,-50.373,8.0E-4,-0.703,7.0E-4,0.7112,36.48,0.00351,0.015640497,0.0,true,110.43,-1.0,0,2,-53.54,-48.35
1471023947904,-132.454,-0.469,-50.377,8.0E-4,-0.7028,7.0E-4,0.7114,36.38,0.00351,0.015640497,0.0,true,110.43,-1.0,0,2,-53.54,-48.35
1471023947977,-132.131,-0.469,-50.381,8.0E-4,-0.7027,7.0E-4,0.7115,36.28,0.00351,0.015640497,0.0,true,110.44,-1.0,0,2,-53.54,-48.35
1471023948046,-131.809,-0.469,-50.386,8.0E-4,-0.7026,7.0E-4,0.7116,36.18,0.00351,0.015640497,0.0,true,110.44,-1.0,0,2,-53.54,-48.35
1471023948120,-131.488,-0.469,-50.39,8.0E-4,-0.7024,7.0E-4,0.7118,36.08,0.00351,0.015640497,0.0,true,110.45,-1.0,0,2,-53.54,-48.35
1471023948191,-131.168,-0.469,-50.395,8.0E-4,-0.7023,7.0E-4,0.7119,35.98,0.00351,0.015640497,0.0,true,110.45,-1.0,0,2,-53.54,-48.35
1471023948264,-130.849,-0.469,-50.4,8.0E-4,-0.7021,7.0E-4,0.712,35.88,0.00351,0.015640497,0.0,true,110.46,-1.0,0,2,-53.54,-48.35
1471023948336,-130.53,-0.469,-50.405,8.0E-4,-0.702,7.0E-4,0.7122,35.78,0.00351,0.015640497,0.0,true,110.46,-1.0,0,2,-53.54,-48.35
1471023948408,-130.213,-0.469,-50.41,8.0E-4,-0.7018,7.0E-4,0.7123,35.67,0.00351,0.015640497,0.0,true,110.47,-1.0,0,2,-53.54,-48.35
1471023948479,-129.896,-0.469,-50.415,8.0E-4,-0.7017,7.0E-4,0.7125,35.57,0.00351,0.015640497,0.0,true,110.47,-1.0,0,2,-53.54,-48.35
1471023948551,-129.581,-0.469,-50.42,8.0E-4,-0.7016,7.0E-4,0.7126,35.47,0.00351,0.015640497,0.0,true,110.48,-1.0,0,2,-53.54,-48.35
1471023948621,-129.266,-0.469,-50.426,8.0E-4,-0.7014,7.0E-4,0.7127,35.37,0.00351,0.015640497,0.0,true,110.48,-1.0,0,2,-53.54,-48.35
1471023948692,-128.952,-0.469,-50.431,8.0E-4,-0.7013,7.0E-4,0.7129,35.27,0.00266,0.015640497,0.0,true,110.49,-1.0,0,2,-53.54,-48.35
1471023948764,-128.639,-0.469,-50.437,8.0E-4,-0.7012,7.0E-4,0.713,35.17,0.00186,0.015640497,0.0,true,110.49,-1.0,0,2,-53.54,-48.35
1471023948835,-128.327,-0.469,-50.442,8.0E-4,-0.7011,7.0E-4,0.7131,35.07,0.00107,0.015640497,0.0,true,110.5,-1.0,0,2,-53.54,-48.35
1471023948908,-128.016,-0.469,-50.448,8.0E-4,-0.701,7.0E-4,0.7131,34.97,0.00107,0.015640497,0.0,true,110.51,-1.0,0,2,-53.54,-48.35
1471023948979,-127.706,-0.469,-50.453,8.0E-4,-0.701,7.0E-4,0.7132,34.87,0.00107,0.015640497,0.0,true,110.51,-1.0,0,2,-53.54,-48.35
1471023949052,-127.396,-0.469,-50.459,8.0E-4,-0.7009,7.0E-4,0.7132,34.77,0.00107,0.015640497,0.0,true,110.52,-1.0,0,2,-53.54,-48.35
1471023949122,-127.088,-0.469,-50.464,8.0E-4,-0.7009,7.0E-4,0.7133,34.67,0.00107,0.32033265,0.0,true,110.52,-1.0,0,2,-53.54,-48.35
1471023949194,-126.78,-0.469,-50.47,8.0E-4,-0.7008,7.0E-4,0.7133,34.68,0.00107,0.6796826,0.0,true,110.53,-1.0,0,2,-53.54,-48.35
1471023949268,-126.471,-0.469,-50.475,8.0E-4,-0.7008,8.0E-4,0.7134,34.86,0.00107,0.91406125,0.0,true,110.53,-1.0,0,2,-53.54,-48.35
1471023949337,-126.159,-0.469,-50.481,9.0E-4,-0.7008,8.0E-4,0.7134,35.16,0.00107,1.0,0.0,true,110.54,-1.0,0,2,-53.54,-48.35
1471023949407,-125.845,-0.47,-50.487,9.0E-4,-0.7007,9.0E-4,0.7134,35.51,0.00107,1.0,0.0,true,110.54,-1.0,0,2,-53.54,-48.35
1471023949648,-125.527,-0.47,-50.493,9.0E-4,-0.7007,9.0E-4,0.7135,35.87,0.00107,1.0,0.0,true,110.55,-1.0,0,2,-53.54,-48.35
1471023949697,-125.207,-0.47,-50.499,9.0E-4,-0.7006,9.0E-4,0.7135,36.12,0.00107,0.9687495,0.0,true,110.56,-1.0,0,2,-53.54,-48.35
1471023949747,-124.885,-0.47,-50.505,9.0E-4,-0.7006,9.0E-4,0.7136,36.33,0.00107,0.9687495,0.0,true,110.56,-1.0,0,2,-53.54,-48.35
