Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_08_16-15_35_53
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1471376153975,-135.579,-0.469,-52.536,8.0E-4,-0.7143,7.0E-4,0.6998,49.32,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376154045,-135.141,-0.469,-52.528,8.0E-4,-0.7142,7.0E-4,0.7,49.22,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376154115,-134.705,-0.469,-52.52,8.0E-4,-0.714,7.0E-4,0.7001,49.12,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376154190,-134.269,-0.469,-52.512,8.0E-4,-0.7139,7.0E-4,0.7003,49.01,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376154259,-133.833,-0.469,-52.504,8.0E-4,-0.7138,7.0E-4,0.7004,48.91,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376154323,-133.399,-0.469,-52.496,8.0E-4,-0.7136,7.0E-4,0.7005,48.81,0.00107,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376154393,-132.966,-0.469,-52.488,8.0E-4,-0.7135,7.0E-4,0.7007,48.71,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376154466,-132.534,-0.469,-52.481,7.0E-4,-0.7135,8.0E-4,0.7007,48.61,-0.00377,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376154532,-132.102,-0.469,-52.472,7.0E-4,-0.7136,8.0E-4,0.7006,48.51,-0.00627,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376154602,-131.671,-0.469,-52.464,7.0E-4,-0.7138,8.0E-4,0.7003,48.41,-0.00707,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376154672,-131.242,-0.469,-52.454,7.0E-4,-0.7141,8.0E-4,0.7,48.31,-0.00707,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376154745,-130.813,-0.469,-52.444,7.0E-4,-0.7145,8.0E-4,0.6996,48.21,-0.00707,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376154811,-130.385,-0.469,-52.434,7.0E-4,-0.7149,8.0E-4,0.6992,48.11,-0.00707,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376154880,-129.958,-0.469,-52.423,7.0E-4,-0.7153,8.0E-4,0.6989,48.01,-0.00786,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376154950,-129.532,-0.469,-52.412,7.0E-4,-0.7156,8.0E-4,0.6985,47.9,-0.00871,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376155183,-129.107,-0.469,-52.4,7.0E-4,-0.7161,8.0E-4,0.698,47.8,-0.01768,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376155233,-128.683,-0.469,-52.387,6.0E-4,-0.7167,9.0E-4,0.6974,47.7,-0.01927,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376155289,-128.259,-0.469,-52.372,5.0E-4,-0.7176,0.001,0.6964,47.6,-0.02012,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376155338,-127.837,-0.469,-52.356,5.0E-4,-0.7186,0.001,0.6954,47.5,-0.02012,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376155389,-127.416,-0.469,-52.338,5.0E-4,-0.7197,0.001,0.6943,47.4,-0.02012,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376155441,-126.996,-0.469,-52.32,6.0E-4,-0.7207,9.0E-4,0.6932,47.3,-0.02012,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1471376155517,-126.576,-0.469,-52.3,6.0E-4,-0.7217,9.0E-4,0.6922,47.19,-0.02012,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
