Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_09_15-19_33_20
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1473982400291,-134.922,-0.47,-52.061,9.0E-4,-0.7075,9.0E-4,0.7067,74.79,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473982400534,-134.255,-0.47,-52.06,9.0E-4,-0.7074,9.0E-4,0.7068,75.12,-0.00218,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473982400588,-133.586,-0.47,-52.06,9.0E-4,-0.7074,9.0E-4,0.7068,75.45,-0.00462,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473982400641,-132.913,-0.47,-52.058,8.0E-4,-0.7077,0.001,0.7066,75.79,-0.00707,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473982400690,-132.238,-0.47,-52.055,8.0E-4,-0.7081,0.001,0.7061,76.12,-0.00871,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473982400738,-131.559,-0.47,-52.051,7.0E-4,-0.7087,0.0011,0.7055,76.45,-0.00951,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473982400787,-130.878,-0.47,-52.045,7.0E-4,-0.7095,0.0011,0.7047,76.79,-0.00951,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473982400836,-130.193,-0.47,-52.038,7.0E-4,-0.7103,0.0011,0.7039,77.12,-0.00951,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473982400894,-129.506,-0.47,-52.029,7.0E-4,-0.7111,0.0011,0.7031,77.46,-0.00951,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473982400957,-128.816,-0.47,-52.018,7.0E-4,-0.7119,0.0011,0.7023,77.79,-0.00951,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473982401016,-128.122,-0.47,-52.006,7.0E-4,-0.7127,0.0011,0.7014,78.13,-0.00951,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
