Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml,,,,,,,,,,,,,,,,,
Date-Time, 2016_08_09-15_50_43,,,,,,,,,,,,,,,,,
Driver, TestDriver,,,,,,,,,,,,,,,,,
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1.47077E+12,-136.006,-0.47,-51.965,0.0011,-0.7082,4.00E-04,0.7061,36.86,0.02999,0,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-135.679,-0.469,-51.969,0.001,-0.7067,5.00E-04,0.7075,36.77,0.01694,0,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-135.353,-0.469,-51.973,9.00E-04,-0.7057,7.00E-04,0.7085,36.67,6.40E-04,0,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-135.027,-0.469,-51.976,7.00E-04,-0.7052,8.00E-04,0.709,36.57,-0.01397,0,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-134.703,-0.47,-51.976,5.00E-04,-0.7054,0.001,0.7088,36.46,-0.02214,0,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-134.379,-0.47,-51.976,5.00E-04,-0.706,0.001,0.7082,36.36,-0.02134,0,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-134.056,-0.469,-51.974,5.00E-04,-0.7069,0.001,0.7073,36.26,-0.01397,0,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-133.735,-0.469,-51.971,6.00E-04,-0.7076,9.00E-04,0.7066,36.16,-0.00255,0,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-133.414,-0.469,-51.97,8.00E-04,-0.708,8.00E-04,0.7062,36.06,0.00717,0,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-133.094,-0.469,-51.969,9.00E-04,-0.708,6.00E-04,0.7062,35.96,0.00882,0.07032883,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-132.775,-0.469,-51.969,9.00E-04,-0.7077,6.00E-04,0.7065,35.85,0.00473,0.14845502,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-132.456,-0.469,-51.97,9.00E-04,-0.7074,7.00E-04,0.7068,35.75,-0.03765,0.37502098,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-132.139,-0.469,-51.967,6.00E-04,-0.708,9.00E-04,0.7063,35.74,-0.04009,0.40627146,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-131.821,-0.47,-51.962,4.00E-04,-0.7093,0.0011,0.7049,35.78,-0.03845,0.44533455,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-131.503,-0.47,-51.954,4.00E-04,-0.7109,0.0012,0.7033,35.83,-0.03441,0.47658503,0,TRUE,-1,-1,0,2,-53.54,-48.35
