Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml,,,,,,,,,,,,,,,,,
Date-Time, 2016_08_09-16_07_55,,,,,,,,,,,,,,,,,
Driver, TestDriver,,,,,,,,,,,,,,,,,
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1], Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1.47077E+12,-134.952,-0.469,-50.108,0.0014,-0.7041,3.00E-04,0.7101,70.47,-0.00908,0.7265583,0,TRUE,87.24,-1,0,2,-53.54,-48.35
1.47077E+12,-134.324,-0.47,-50.115,0.001,-0.7032,7.00E-04,0.711,70.67,-0.00908,0.7265583,0,TRUE,86.8,-1,0,2,-53.54,-48.35
1.47077E+12,-133.695,-0.47,-50.12,6.00E-04,-0.7037,0.0011,0.7105,70.88,-0.00908,0.6796826,0,TRUE,86.36,-1,0,2,-53.54,-48.35
1.47077E+12,-133.064,-0.47,-50.124,6.00E-04,-0.7043,0.0012,0.7099,71.08,-0.00908,0.5546807,0,TRUE,85.92,-1,0,2,-53.54,-48.35
1.47077E+12,-132.431,-0.47,-50.126,6.00E-04,-0.7051,0.0011,0.7092,71.23,-0.00908,0.4218967,0,TRUE,85.48,-1,0,2,-53.54,-48.35
1.47077E+12,-131.797,-0.47,-50.127,6.00E-04,-0.7058,0.0011,0.7084,71.33,-0.00993,0.2578317,0,TRUE,85.03,-1,0,2,-53.54,-48.35
1.47077E+12,-131.163,-0.47,-50.127,6.00E-04,-0.7065,0.001,0.7077,71.36,-0.01152,0.10939193,0,TRUE,84.59,-1,0,2,-53.54,-48.35
1.47077E+12,-130.529,-0.469,-50.125,6.00E-04,-0.7074,0.001,0.7069,71.29,-0.01561,0,0,TRUE,84.14,-1,0,2,-53.54,-48.35
1.47077E+12,-129.896,-0.469,-50.121,5.00E-04,-0.7084,0.001,0.7058,71.19,-0.0189,0,0,TRUE,83.69,-1,0,2,-53.54,-48.35
1.47077E+12,-129.263,-0.469,-50.114,4.00E-04,-0.7097,0.0011,0.7045,71.08,-0.02049,0,0,TRUE,83.24,-1,0,2,-53.54,-48.35
1.47077E+12,-128.632,-0.469,-50.104,3.00E-04,-0.7112,0.0011,0.703,70.98,-0.02214,0,0,TRUE,82.78,-1,0,2,-53.54,-48.35
