Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml,,,,,,,,,,,,,,,,,
Date-Time, 2016_08_09-15_40_43,,,,,,,,,,,,,,,,,
Driver, TestDriver,,,,,,,,,,,,,,,,,
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1.47077E+12,-136.024,-0.469,-51.943,7.00E-04,-0.7007,8.00E-04,0.7135,36.82,-0.01726,0.14845502,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-135.697,-0.469,-51.947,6.00E-04,-0.7013,9.00E-04,0.7128,36.71,-0.01561,0.14845502,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-135.371,-0.469,-51.95,7.00E-04,-0.702,9.00E-04,0.7122,36.61,-0.01073,0.14845502,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-135.046,-0.469,-51.953,7.00E-04,-0.7026,8.00E-04,0.7116,36.51,-0.00749,0.14845502,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-134.722,-0.469,-51.955,7.00E-04,-0.703,8.00E-04,0.7112,36.41,-0.00749,0.14845502,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-134.399,-0.469,-51.958,8.00E-04,-0.7033,8.00E-04,0.7109,36.31,-0.00908,0.14845502,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-134.077,-0.469,-51.961,7.00E-04,-0.7036,8.00E-04,0.7106,36.21,-0.00993,0.14845502,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-133.755,-0.469,-51.962,7.00E-04,-0.704,8.00E-04,0.7102,36.11,-0.01073,0.14845502,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-133.435,-0.469,-51.964,7.00E-04,-0.7044,8.00E-04,0.7098,36.01,-0.01561,0.14845502,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-133.115,-0.469,-51.965,7.00E-04,-0.7049,8.00E-04,0.7093,35.91,-0.01481,0.14845502,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-132.797,-0.469,-51.964,7.00E-04,-0.7055,8.00E-04,0.7087,35.81,-0.01237,0.14845502,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-132.479,-0.469,-51.964,7.00E-04,-0.706,8.00E-04,0.7082,35.71,-0.00993,0.14845502,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-132.162,-0.469,-51.964,7.00E-04,-0.7065,8.00E-04,0.7077,35.61,-0.00908,0.14845502,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-131.846,-0.469,-51.963,7.00E-04,-0.7069,8.00E-04,0.7073,35.5,-0.00908,0.14845502,0,TRUE,-1,-1,0,2,-53.54,-48.35
1.47077E+12,-131.531,-0.469,-51.962,7.00E-04,-0.7072,8.00E-04,0.707,35.4,-0.00908,0.14845502,0,TRUE,-1,-1,0,2,-53.54,-48.35
