Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_09_14-13_15_19
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1473873319397,-135.086,-0.47,-52.036,6.0E-4,-0.704,0.0012,0.7102,74.0,-0.01359,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473873319468,-134.426,-0.47,-52.038,6.0E-4,-0.7052,0.0012,0.709,74.33,-0.01359,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473873319537,-133.764,-0.47,-52.038,6.0E-4,-0.7063,0.0012,0.7079,74.66,-0.01359,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473873319607,-133.098,-0.47,-52.035,6.0E-4,-0.7074,0.0012,0.7068,74.99,-0.01359,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473873319849,-132.43,-0.47,-52.031,6.0E-4,-0.7086,0.0012,0.7056,75.32,-0.01195,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473873319898,-131.758,-0.47,-52.024,6.0E-4,-0.7096,0.0012,0.7046,75.66,-0.01115,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473873319958,-131.084,-0.47,-52.016,7.0E-4,-0.7106,0.0012,0.7036,75.99,-0.0103,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473873320006,-130.407,-0.47,-52.006,7.0E-4,-0.7115,0.0011,0.7026,76.32,-0.00951,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473873320061,-129.726,-0.47,-51.995,7.0E-4,-0.7124,0.0011,0.7018,76.66,-0.00951,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473873320111,-129.043,-0.47,-51.982,7.0E-4,-0.7132,0.0011,0.701,76.99,-0.00951,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
