Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_09_14-12_54_39
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1473872079656,-135.677,-0.469,-51.966,6.0E-4,-0.7166,8.0E-4,0.6975,49.74,-0.0103,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872079727,-135.236,-0.469,-51.951,7.0E-4,-0.7172,8.0E-4,0.6968,49.64,-0.0103,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872079798,-134.795,-0.469,-51.937,7.0E-4,-0.7178,8.0E-4,0.6962,49.54,-0.0103,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872079872,-134.356,-0.469,-51.921,7.0E-4,-0.7184,8.0E-4,0.6957,49.44,-0.00951,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872079944,-133.917,-0.469,-51.905,7.0E-4,-0.7189,8.0E-4,0.6951,49.34,-0.00786,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872080021,-133.479,-0.469,-51.889,7.0E-4,-0.7194,8.0E-4,0.6946,49.24,-0.00462,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872080090,-133.042,-0.469,-51.873,7.0E-4,-0.7197,8.0E-4,0.6942,49.14,-0.00133,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872080164,-132.606,-0.469,-51.856,7.0E-4,-0.7199,8.0E-4,0.694,49.04,0.00186,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872080238,-132.171,-0.469,-51.84,8.0E-4,-0.7199,7.0E-4,0.694,48.94,0.00431,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872080311,-131.737,-0.469,-51.825,8.0E-4,-0.7198,7.0E-4,0.6942,48.84,0.00595,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872080384,-131.304,-0.469,-51.81,8.0E-4,-0.7196,7.0E-4,0.6944,48.74,0.00595,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872080457,-130.871,-0.469,-51.796,8.0E-4,-0.7193,7.0E-4,0.6947,48.63,0.00675,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872080528,-130.44,-0.469,-51.782,8.0E-4,-0.7189,7.0E-4,0.6951,48.53,0.01004,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872080599,-130.009,-0.469,-51.769,8.0E-4,-0.7185,7.0E-4,0.6955,48.43,0.01248,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872080670,-129.579,-0.469,-51.757,9.0E-4,-0.7179,6.0E-4,0.6961,48.33,0.01412,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872080741,-129.15,-0.469,-51.746,9.0E-4,-0.7173,6.0E-4,0.6968,48.23,0.01412,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872080813,-128.722,-0.469,-51.737,9.0E-4,-0.7165,6.0E-4,0.6976,48.13,0.01412,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872081054,-128.295,-0.469,-51.728,9.0E-4,-0.7158,6.0E-4,0.6983,48.03,0.01412,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872081112,-127.869,-0.469,-51.72,9.0E-4,-0.715,6.0E-4,0.6991,47.93,0.01412,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872081169,-127.443,-0.469,-51.713,9.0E-4,-0.7143,6.0E-4,0.6998,47.83,0.01412,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872081236,-127.019,-0.469,-51.707,9.0E-4,-0.7136,6.0E-4,0.7006,47.73,0.01412,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872081317,-126.595,-0.469,-51.701,9.0E-4,-0.7128,6.0E-4,0.7014,47.62,0.01412,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872081395,-126.172,-0.469,-51.697,9.0E-4,-0.7121,6.0E-4,0.7021,47.52,0.01412,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872081449,-125.75,-0.469,-51.694,9.0E-4,-0.7113,6.0E-4,0.7029,47.42,0.01412,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872081505,-125.329,-0.469,-51.691,9.0E-4,-0.7106,6.0E-4,0.7036,47.32,0.01412,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872081566,-124.909,-0.469,-51.69,9.0E-4,-0.7099,6.0E-4,0.7043,47.22,0.01248,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473872081624,-124.49,-0.469,-51.689,9.0E-4,-0.7092,6.0E-4,0.705,47.12,0.01004,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
