Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_09_16-12_40_04
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1474044004093,-135.168,-0.469,-51.493,6.0E-4,-0.6925,9.0E-4,0.7214,67.64,-0.01115,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044004177,-134.567,-0.469,-51.515,6.0E-4,-0.6933,9.0E-4,0.7206,67.54,-0.01115,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044004231,-133.968,-0.469,-51.535,6.0E-4,-0.6942,9.0E-4,0.7198,67.44,-0.01115,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044004285,-133.369,-0.469,-51.554,6.0E-4,-0.695,9.0E-4,0.719,67.34,-0.01115,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044004338,-132.771,-0.469,-51.571,6.0E-4,-0.6959,9.0E-4,0.7182,67.24,-0.01115,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044004399,-132.174,-0.469,-51.587,6.0E-4,-0.6967,9.0E-4,0.7173,67.14,-0.01115,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044004447,-131.578,-0.469,-51.602,6.0E-4,-0.6976,9.0E-4,0.7165,67.04,-0.01115,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044004510,-130.983,-0.469,-51.615,6.0E-4,-0.6984,9.0E-4,0.7157,66.94,-0.01115,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044004581,-130.389,-0.469,-51.626,6.0E-4,-0.6992,9.0E-4,0.7149,66.84,-0.01115,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044004653,-129.795,-0.469,-51.637,6.0E-4,-0.7001,9.0E-4,0.7141,66.74,-0.01115,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044004724,-129.203,-0.469,-51.646,6.0E-4,-0.7009,9.0E-4,0.7133,66.63,-0.01115,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044004797,-128.611,-0.469,-51.653,6.0E-4,-0.7017,9.0E-4,0.7124,66.53,-0.01115,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044004866,-128.02,-0.469,-51.659,6.0E-4,-0.7026,9.0E-4,0.7116,66.43,-0.01115,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044004939,-127.43,-0.469,-51.664,6.0E-4,-0.7034,9.0E-4,0.7108,66.33,-0.01115,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044005008,-126.841,-0.469,-51.667,6.0E-4,-0.7042,9.0E-4,0.71,66.23,-0.00871,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044005080,-126.253,-0.469,-51.67,6.0E-4,-0.705,9.0E-4,0.7092,66.13,-0.00707,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044005153,-125.665,-0.469,-51.671,6.0E-4,-0.7056,9.0E-4,0.7086,66.03,-0.00627,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044005222,-125.079,-0.469,-51.672,7.0E-4,-0.7061,8.0E-4,0.7081,65.93,-0.00627,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044005294,-124.493,-0.469,-51.672,7.0E-4,-0.7065,8.0E-4,0.7077,65.83,-0.00627,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044005366,-123.909,-0.469,-51.671,7.0E-4,-0.707,8.0E-4,0.7072,65.73,-0.00542,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044005437,-123.325,-0.469,-51.67,7.0E-4,-0.7074,8.0E-4,0.7068,65.63,-0.00377,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044005510,-122.742,-0.469,-51.668,7.0E-4,-0.7078,8.0E-4,0.7064,65.53,-0.00133,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474044005581,-122.16,-0.469,-51.667,7.0E-4,-0.708,8.0E-4,0.7062,65.42,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
