Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_09_16-16_50_18
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1474059018763,-135.745,-0.469,-50.741,9.0E-4,-0.7095,9.0E-4,0.7047,39.64,0.00266,1.0,0.0,true,110.2,-1.0,0,2,-53.54,-48.35
1474059018814,-135.391,-0.469,-50.739,9.0E-4,-0.7094,9.0E-4,0.7048,39.89,0.00266,1.0,0.0,true,110.2,-1.0,0,2,-53.54,-48.35
1474059018879,-135.035,-0.469,-50.737,9.0E-4,-0.7092,9.0E-4,0.705,40.14,0.00266,1.0,0.0,true,110.2,-1.0,0,2,-53.54,-48.35
1474059018950,-134.676,-0.469,-50.736,9.0E-4,-0.7091,9.0E-4,0.7051,40.4,0.00266,1.0,0.0,true,110.2,-1.0,0,2,-53.54,-48.35
1474059019023,-134.316,-0.469,-50.734,9.0E-4,-0.709,9.0E-4,0.7052,40.66,0.00266,1.0,0.0,true,110.2,-1.0,0,2,-53.54,-48.35
1474059019095,-133.953,-0.469,-50.733,9.0E-4,-0.7089,9.0E-4,0.7053,40.92,0.00266,1.0,0.0,true,110.2,-1.0,0,2,-53.54,-48.35
1474059019166,-133.588,-0.47,-50.731,9.0E-4,-0.7088,9.0E-4,0.7054,41.18,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059019239,-133.22,-0.47,-50.73,9.0E-4,-0.7086,9.0E-4,0.7056,41.45,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059019316,-132.85,-0.47,-50.729,9.0E-4,-0.7085,9.0E-4,0.7057,41.71,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059019385,-132.478,-0.47,-50.728,9.0E-4,-0.7084,9.0E-4,0.7058,41.98,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059019459,-132.103,-0.47,-50.727,9.0E-4,-0.7083,9.0E-4,0.7059,42.26,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059019529,-131.726,-0.47,-50.726,9.0E-4,-0.7081,9.0E-4,0.7061,42.53,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059019600,-131.346,-0.47,-50.725,9.0E-4,-0.708,9.0E-4,0.7062,42.81,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059019673,-130.964,-0.47,-50.725,9.0E-4,-0.7079,9.0E-4,0.7063,43.09,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059019743,-130.58,-0.47,-50.724,9.0E-4,-0.7078,9.0E-4,0.7064,43.37,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059019815,-130.192,-0.47,-50.724,9.0E-4,-0.7076,9.0E-4,0.7066,43.66,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059019886,-129.803,-0.47,-50.724,9.0E-4,-0.7075,9.0E-4,0.7067,43.95,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059019957,-129.41,-0.47,-50.724,9.0E-4,-0.7074,9.0E-4,0.7068,44.24,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059020032,-129.016,-0.47,-50.724,9.0E-4,-0.7073,9.0E-4,0.707,44.53,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059020101,-128.618,-0.47,-50.724,9.0E-4,-0.7071,9.0E-4,0.7071,44.82,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059020178,-128.218,-0.47,-50.725,9.0E-4,-0.707,9.0E-4,0.7072,45.12,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059020245,-127.815,-0.47,-50.725,9.0E-4,-0.7069,9.0E-4,0.7074,45.42,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059020318,-127.41,-0.47,-50.726,9.0E-4,-0.7067,9.0E-4,0.7075,45.73,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059020387,-127.002,-0.47,-50.727,9.0E-4,-0.7066,9.0E-4,0.7076,46.03,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059020642,-126.591,-0.47,-50.728,9.0E-4,-0.7064,9.0E-4,0.7078,46.34,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059020706,-126.177,-0.47,-50.729,9.0E-4,-0.7063,9.0E-4,0.7079,46.65,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059020758,-125.76,-0.47,-50.731,9.0E-4,-0.7062,9.0E-4,0.708,46.96,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059020810,-125.341,-0.47,-50.732,9.0E-4,-0.706,9.0E-4,0.7082,47.28,0.00266,1.0,0.0,true,110.19,-1.0,0,2,-53.54,-48.35
1474059020859,-124.919,-0.47,-50.734,9.0E-4,-0.7059,9.0E-4,0.7083,47.6,0.00266,1.0,0.0,true,110.2,-1.0,0,2,-53.54,-48.35
1474059020908,-124.494,-0.47,-50.736,9.0E-4,-0.7057,9.0E-4,0.7085,47.92,0.00186,1.0,0.0,true,110.2,-1.0,0,2,-53.54,-48.35
1474059020957,-124.067,-0.47,-50.738,9.0E-4,-0.7056,9.0E-4,0.7086,48.24,2.2E-4,1.0,0.0,true,110.2,-1.0,0,2,-53.54,-48.35
1474059021007,-123.636,-0.47,-50.74,9.0E-4,-0.7056,9.0E-4,0.7087,48.56,-0.00133,1.0,0.0,true,110.2,-1.0,0,2,-53.54,-48.35
1474059021057,-123.202,-0.47,-50.742,9.0E-4,-0.7056,9.0E-4,0.7086,48.89,-0.00218,1.0,0.0,true,110.2,-1.0,0,2,-53.54,-48.35
1474059021110,-122.766,-0.47,-50.743,9.0E-4,-0.7057,9.0E-4,0.7086,49.22,-0.00298,1.0,0.0,true,110.21,-1.0,0,2,-53.54,-48.35
1474059021177,-122.327,-0.47,-50.745,9.0E-4,-0.7058,9.0E-4,0.7084,49.55,-0.00298,1.0,0.0,true,110.21,-1.0,0,2,-53.54,-48.35
1474059021248,-121.884,-0.47,-50.746,9.0E-4,-0.7059,9.0E-4,0.7083,49.89,-0.00298,1.0,0.0,true,110.21,-1.0,0,2,-53.54,-48.35
1474059021323,-121.439,-0.47,-50.747,9.0E-4,-0.7061,9.0E-4,0.7081,50.22,-0.00298,1.0,0.0,true,110.21,-1.0,0,2,-53.54,-48.35
1474059021392,-120.99,-0.47,-50.747,9.0E-4,-0.7063,9.0E-4,0.7079,50.56,-0.00298,1.0,0.0,true,110.21,-1.0,0,2,-53.54,-48.35
1474059021466,-120.539,-0.47,-50.748,9.0E-4,-0.7064,9.0E-4,0.7078,50.9,-0.00218,1.0,0.0,true,110.21,-1.0,0,2,-53.54,-48.35
1474059021536,-120.085,-0.47,-50.748,9.0E-4,-0.7066,9.0E-4,0.7076,51.25,-0.00218,1.0,0.0,true,110.21,-1.0,0,2,-53.54,-48.35
1474059021606,-119.627,-0.47,-50.748,9.0E-4,-0.7067,9.0E-4,0.7075,51.59,-0.00218,1.0,0.0,true,110.21,-1.0,0,2,-53.54,-48.35
1474059021681,-119.167,-0.47,-50.748,9.0E-4,-0.7069,9.0E-4,0.7074,51.94,-0.00218,1.0,0.0,true,110.21,-1.0,0,2,-53.54,-48.35
