Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_09_16-16_31_31
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1474057891448,-135.559,-0.47,-50.89,9.0E-4,-0.7154,9.0E-4,0.6987,52.79,0.00266,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057891522,-135.088,-0.47,-50.879,9.0E-4,-0.7153,9.0E-4,0.6989,53.14,0.00266,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057891596,-134.613,-0.47,-50.869,9.0E-4,-0.7151,9.0E-4,0.699,53.5,0.00186,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057891668,-134.136,-0.47,-50.859,9.0E-4,-0.715,9.0E-4,0.6992,53.86,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057891741,-133.655,-0.47,-50.848,9.0E-4,-0.7149,9.0E-4,0.6993,54.21,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057891814,-133.171,-0.47,-50.838,9.0E-4,-0.7148,9.0E-4,0.6993,54.57,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057891888,-132.684,-0.47,-50.827,9.0E-4,-0.7147,9.0E-4,0.6994,54.93,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057891960,-132.194,-0.47,-50.817,9.0E-4,-0.7147,9.0E-4,0.6995,55.29,0.00107,0.9687496,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057892033,-131.701,-0.47,-50.806,9.0E-4,-0.7146,9.0E-4,0.6995,55.65,0.00107,0.9140612,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057892106,-131.204,-0.47,-50.796,9.0E-4,-0.7145,9.0E-4,0.6996,55.98,0.00107,0.90624857,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057892177,-130.705,-0.47,-50.786,9.0E-4,-0.7145,9.0E-4,0.6997,56.3,0.00107,0.8749981,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057892422,-130.203,-0.47,-50.775,9.0E-4,-0.7144,9.0E-4,0.6997,56.61,0.00107,0.73437095,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057892480,-129.698,-0.47,-50.765,9.0E-4,-0.7143,9.0E-4,0.6998,56.87,0.00107,0.7187457,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057892532,-129.191,-0.47,-50.755,9.0E-4,-0.7143,9.0E-4,0.6999,57.11,0.00107,0.773434,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057892583,-128.682,-0.47,-50.745,9.0E-4,-0.7142,9.0E-4,0.6999,57.37,0.00107,0.8046845,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057892636,-128.171,-0.47,-50.735,9.0E-4,-0.7141,9.0E-4,0.7,57.64,0.00107,0.8437476,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057892688,-127.657,-0.469,-50.725,9.0E-4,-0.7141,9.0E-4,0.7001,57.93,0.00107,0.87499803,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057892739,-127.14,-0.47,-50.715,9.0E-4,-0.714,9.0E-4,0.7001,58.24,0.00107,0.90624857,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057892789,-126.621,-0.47,-50.705,9.0E-4,-0.7139,9.0E-4,0.7002,58.57,0.00107,0.9218738,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057892845,-126.099,-0.47,-50.695,9.0E-4,-0.7139,9.0E-4,0.7003,58.9,0.00107,0.9687495,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057892903,-125.573,-0.47,-50.685,9.0E-4,-0.7138,9.0E-4,0.7004,59.25,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057892977,-125.045,-0.47,-50.675,9.0E-4,-0.7137,9.0E-4,0.7004,59.62,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057893044,-124.513,-0.47,-50.665,9.0E-4,-0.7137,9.0E-4,0.7005,59.99,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057893119,-123.977,-0.47,-50.656,9.0E-4,-0.7136,9.0E-4,0.7006,60.36,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057893191,-123.439,-0.47,-50.646,9.0E-4,-0.7135,9.0E-4,0.7006,60.74,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057893262,-122.897,-0.47,-50.636,9.0E-4,-0.7134,9.0E-4,0.7007,61.11,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057893334,-122.352,-0.47,-50.627,9.0E-4,-0.7134,9.0E-4,0.7008,61.48,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057893406,-121.803,-0.47,-50.617,9.0E-4,-0.7133,9.0E-4,0.7009,61.86,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057893481,-121.251,-0.47,-50.608,9.0E-4,-0.7132,9.0E-4,0.7009,62.23,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057893552,-120.696,-0.47,-50.598,9.0E-4,-0.7132,9.0E-4,0.701,62.6,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057893626,-120.137,-0.47,-50.589,9.0E-4,-0.7131,9.0E-4,0.7011,62.98,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057893697,-119.576,-0.47,-50.58,9.0E-4,-0.713,9.0E-4,0.7012,63.35,0.00107,0.92187387,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057893767,-119.011,-0.47,-50.571,9.0E-4,-0.7129,9.0E-4,0.7012,63.7,0.00107,0.77343404,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057893840,-118.443,-0.47,-50.562,9.0E-4,-0.7129,9.0E-4,0.7013,63.98,0.00107,0.5234302,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057893912,-117.873,-0.47,-50.553,9.0E-4,-0.7128,9.0E-4,0.7014,64.16,0.00107,0.3437705,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057893983,-117.302,-0.47,-50.544,9.0E-4,-0.7127,9.0E-4,0.7015,64.24,0.00107,0.2578317,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057894057,-116.731,-0.47,-50.535,8.0E-4,-0.7126,8.0E-4,0.7015,64.27,0.00107,0.054703593,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057894130,-116.16,-0.469,-50.526,8.0E-4,-0.7126,8.0E-4,0.7016,64.2,0.00107,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057894201,-115.59,-0.469,-50.518,8.0E-4,-0.7125,8.0E-4,0.7017,64.1,0.00107,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057894276,-115.021,-0.469,-50.509,8.0E-4,-0.7124,7.0E-4,0.7018,64.0,0.00107,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057894348,-114.452,-0.469,-50.501,7.0E-4,-0.7123,7.0E-4,0.7018,63.9,0.00107,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057894423,-113.885,-0.469,-50.493,8.0E-4,-0.7123,7.0E-4,0.7019,63.8,0.00107,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057894496,-113.319,-0.469,-50.485,8.0E-4,-0.7122,7.0E-4,0.702,63.7,0.00107,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057894745,-112.753,-0.469,-50.477,8.0E-4,-0.7121,7.0E-4,0.7021,63.59,0.00107,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057894802,-112.188,-0.469,-50.469,8.0E-4,-0.712,7.0E-4,0.7022,63.49,0.00107,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057894864,-111.624,-0.469,-50.461,8.0E-4,-0.712,7.0E-4,0.7022,63.39,0.00107,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057894921,-111.061,-0.469,-50.454,8.0E-4,-0.7119,7.0E-4,0.7023,63.29,0.00107,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057894976,-110.499,-0.469,-50.447,8.0E-4,-0.7118,7.0E-4,0.7024,63.19,0.00107,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057895033,-109.938,-0.469,-50.439,8.0E-4,-0.7117,7.0E-4,0.7025,63.09,2.2E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057895091,-109.378,-0.469,-50.432,8.0E-4,-0.7117,7.0E-4,0.7025,62.99,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057895142,-108.819,-0.469,-50.425,7.0E-4,-0.7117,8.0E-4,0.7025,62.89,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057895200,-108.26,-0.469,-50.417,7.0E-4,-0.7117,8.0E-4,0.7025,62.79,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057895252,-107.703,-0.469,-50.41,7.0E-4,-0.7117,8.0E-4,0.7024,62.69,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057895306,-107.146,-0.469,-50.403,7.0E-4,-0.7118,8.0E-4,0.7024,62.59,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057895370,-106.59,-0.469,-50.395,7.0E-4,-0.7118,8.0E-4,0.7024,62.49,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057895444,-106.035,-0.469,-50.388,7.0E-4,-0.7119,8.0E-4,0.7023,62.39,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057895517,-105.481,-0.469,-50.38,7.0E-4,-0.7119,8.0E-4,0.7023,62.28,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057895590,-104.928,-0.469,-50.372,7.0E-4,-0.7119,8.0E-4,0.7022,62.18,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057895662,-104.376,-0.469,-50.365,7.0E-4,-0.712,8.0E-4,0.7022,62.08,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057895734,-103.825,-0.469,-50.357,7.0E-4,-0.712,8.0E-4,0.7022,61.98,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057895806,-103.274,-0.469,-50.349,7.0E-4,-0.712,8.0E-4,0.7021,61.88,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057895878,-102.725,-0.469,-50.341,7.0E-4,-0.7121,8.0E-4,0.7021,61.78,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057895951,-102.176,-0.469,-50.333,7.0E-4,-0.7121,8.0E-4,0.7021,61.68,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057896022,-101.629,-0.469,-50.325,7.0E-4,-0.7122,8.0E-4,0.702,61.58,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057896094,-101.082,-0.469,-50.317,7.0E-4,-0.7122,8.0E-4,0.702,61.48,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057896170,-100.536,-0.469,-50.309,7.0E-4,-0.7122,8.0E-4,0.7019,61.38,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057896241,-99.991,-0.469,-50.301,7.0E-4,-0.7123,8.0E-4,0.7019,61.28,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057896314,-99.447,-0.469,-50.293,7.0E-4,-0.7123,8.0E-4,0.7019,61.18,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057896387,-98.904,-0.469,-50.285,7.0E-4,-0.7123,8.0E-4,0.7018,61.08,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057896461,-98.361,-0.469,-50.277,7.0E-4,-0.7124,8.0E-4,0.7018,60.97,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057896534,-97.82,-0.469,-50.269,7.0E-4,-0.7124,8.0E-4,0.7018,60.87,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057896606,-97.279,-0.469,-50.26,7.0E-4,-0.7124,8.0E-4,0.7017,60.77,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057896681,-96.74,-0.469,-50.252,7.0E-4,-0.7125,8.0E-4,0.7017,60.67,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057896753,-96.201,-0.469,-50.244,7.0E-4,-0.7125,8.0E-4,0.7017,60.57,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057896829,-95.663,-0.469,-50.235,7.0E-4,-0.7126,8.0E-4,0.7016,60.47,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057897086,-95.126,-0.469,-50.227,7.0E-4,-0.7126,8.0E-4,0.7016,60.37,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057897141,-94.59,-0.469,-50.219,7.0E-4,-0.7126,8.0E-4,0.7015,60.27,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057897192,-94.055,-0.469,-50.21,7.0E-4,-0.7127,8.0E-4,0.7015,60.17,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057897256,-93.521,-0.469,-50.202,7.0E-4,-0.7127,8.0E-4,0.7015,60.07,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057897325,-92.987,-0.469,-50.193,7.0E-4,-0.7127,8.0E-4,0.7014,59.97,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057897382,-92.455,-0.469,-50.184,7.0E-4,-0.7128,8.0E-4,0.7014,59.87,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057897441,-91.923,-0.469,-50.176,7.0E-4,-0.7128,8.0E-4,0.7014,59.77,-5.4E-4,0.0,0.0937667,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057897502,-91.393,-0.469,-50.167,7.0E-4,-0.7128,8.0E-4,0.7013,59.51,-5.4E-4,0.0,0.15626764,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057897569,-90.867,-0.469,-50.158,7.0E-4,-0.7129,7.0E-4,0.7013,59.1,-5.4E-4,0.0,0.2187686,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057897624,-90.344,-0.469,-50.15,6.0E-4,-0.7129,7.0E-4,0.7013,58.56,-5.4E-4,0.0,0.2187686,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057897675,-89.827,-0.469,-50.141,6.0E-4,-0.7129,6.0E-4,0.7012,57.97,-5.4E-4,0.0,0.23439384,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057897725,-89.315,-0.469,-50.132,6.0E-4,-0.713,6.0E-4,0.7012,57.37,-5.4E-4,0.0,0.2656443,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057897790,-88.809,-0.469,-50.124,5.0E-4,-0.713,6.0E-4,0.7012,56.7,-5.4E-4,0.0,0.32033265,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057897848,-88.309,-0.469,-50.115,5.0E-4,-0.713,5.0E-4,0.7011,55.93,-5.4E-4,0.0,0.35158312,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057897922,-87.817,-0.469,-50.107,5.0E-4,-0.7131,5.0E-4,0.7011,55.08,-5.4E-4,0.0,0.39845884,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057897995,-87.332,-0.469,-50.098,5.0E-4,-0.7131,5.0E-4,0.7011,54.13,-5.4E-4,0.0,0.43752196,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057898069,-86.857,-0.469,-50.09,4.0E-4,-0.7131,4.0E-4,0.701,53.09,-5.4E-4,0.0,0.48439765,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057898142,-86.391,-0.469,-50.082,4.0E-4,-0.7132,4.0E-4,0.701,51.95,-5.4E-4,0.0,0.57030594,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057898221,-85.937,-0.469,-50.074,4.0E-4,-0.7132,4.0E-4,0.701,50.65,-5.4E-4,0.0,0.6249943,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057898289,-85.494,-0.469,-50.066,3.0E-4,-0.7132,3.0E-4,0.7009,49.21,-5.4E-4,0.0,0.6249943,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057898363,-85.065,-0.469,-50.059,3.0E-4,-0.7133,3.0E-4,0.7009,47.73,-5.4E-4,0.0,0.6328069,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057898435,-84.649,-0.469,-50.052,2.0E-4,-0.7133,2.0E-4,0.7009,46.25,-5.4E-4,0.0,0.6328069,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057898508,-84.246,-0.469,-50.044,2.0E-4,-0.7133,2.0E-4,0.7008,44.76,-5.4E-4,0.0,0.6328069,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057898581,-83.857,-0.469,-50.037,2.0E-4,-0.7133,2.0E-4,0.7008,43.27,-5.4E-4,0.0,0.6328069,true,-1.0,-1.0,0,2,-53.54,-48.35
1474057898654,-83.48,-0.469,-50.031,2.0E-4,-0.7134,2.0E-4,0.7008,41.79,-5.4E-4,0.0,0.6328069,true,-1.0,-1.0,0,2,-53.54,-48.35
