Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_09_15-15_33_42
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1473968022971,-135.397,-0.47,-51.583,9.0E-4,-0.7105,9.0E-4,0.7037,51.81,-0.00133,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968023042,-134.935,-0.47,-51.578,9.0E-4,-0.7106,9.0E-4,0.7036,52.16,-5.4E-4,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968023113,-134.469,-0.47,-51.574,9.0E-4,-0.7107,9.0E-4,0.7035,52.51,2.2E-4,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968023187,-134.001,-0.47,-51.569,9.0E-4,-0.7107,9.0E-4,0.7035,52.86,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968023259,-133.529,-0.47,-51.564,9.0E-4,-0.7107,9.0E-4,0.7035,53.21,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968023329,-133.054,-0.47,-51.559,9.0E-4,-0.7106,9.0E-4,0.7036,53.57,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968023402,-132.576,-0.47,-51.555,9.0E-4,-0.7106,9.0E-4,0.7036,53.92,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968023472,-132.094,-0.47,-51.55,9.0E-4,-0.7105,9.0E-4,0.7037,54.28,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968023545,-131.61,-0.47,-51.546,9.0E-4,-0.7104,9.0E-4,0.7038,54.64,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968023618,-131.122,-0.47,-51.542,9.0E-4,-0.7104,9.0E-4,0.7038,55.0,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968023690,-130.631,-0.47,-51.537,9.0E-4,-0.7103,9.0E-4,0.7039,55.36,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968023760,-130.137,-0.47,-51.533,9.0E-4,-0.7102,9.0E-4,0.704,55.72,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968023838,-129.64,-0.47,-51.529,9.0E-4,-0.7102,9.0E-4,0.704,56.09,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968023906,-129.139,-0.47,-51.525,9.0E-4,-0.7101,9.0E-4,0.7041,56.45,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968023978,-128.635,-0.47,-51.521,9.0E-4,-0.71,9.0E-4,0.7042,56.82,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968024048,-128.128,-0.47,-51.517,9.0E-4,-0.71,9.0E-4,0.7042,57.19,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968024120,-127.618,-0.47,-51.513,9.0E-4,-0.7099,9.0E-4,0.7043,57.56,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968024192,-127.104,-0.47,-51.509,9.0E-4,-0.7098,9.0E-4,0.7044,57.93,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968024263,-126.587,-0.47,-51.505,9.0E-4,-0.7098,9.0E-4,0.7044,58.29,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968024337,-126.067,-0.47,-51.501,9.0E-4,-0.7097,9.0E-4,0.7045,58.67,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968024408,-125.543,-0.47,-51.498,9.0E-4,-0.7096,9.0E-4,0.7046,59.04,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968024649,-125.016,-0.47,-51.494,9.0E-4,-0.7096,9.0E-4,0.7046,59.41,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968024702,-124.486,-0.47,-51.491,9.0E-4,-0.7095,9.0E-4,0.7047,59.78,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968024782,-123.953,-0.47,-51.488,9.0E-4,-0.7094,9.0E-4,0.7048,60.15,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968024853,-123.416,-0.47,-51.484,9.0E-4,-0.7093,9.0E-4,0.7049,60.53,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968024919,-122.876,-0.47,-51.481,9.0E-4,-0.7093,9.0E-4,0.7049,60.9,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968024986,-122.332,-0.47,-51.478,9.0E-4,-0.7092,9.0E-4,0.705,61.27,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473968025043,-121.786,-0.47,-51.475,9.0E-4,-0.7091,9.0E-4,0.7051,61.65,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
