Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_09_15-12_24_58
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1473956698814,-136.046,-0.47,-51.407,9.0E-4,-0.7214,0.001,0.6926,32.03,-0.00133,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956698885,-135.759,-0.47,-51.395,9.0E-4,-0.7214,0.001,0.6925,32.44,-0.00133,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956698955,-135.468,-0.47,-51.383,9.0E-4,-0.7214,0.001,0.6925,32.85,-5.4E-4,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956699029,-135.174,-0.47,-51.371,9.0E-4,-0.7215,0.001,0.6924,33.25,-5.4E-4,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956699103,-134.877,-0.47,-51.359,9.0E-4,-0.7215,0.001,0.6924,33.65,-5.4E-4,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956699175,-134.576,-0.47,-51.346,9.0E-4,-0.7215,0.001,0.6924,34.04,-5.4E-4,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956699247,-134.271,-0.47,-51.334,9.0E-4,-0.7215,0.001,0.6924,34.42,-5.4E-4,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956699318,-133.964,-0.47,-51.321,9.0E-4,-0.7216,9.0E-4,0.6923,34.79,-5.4E-4,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956699390,-133.653,-0.47,-51.308,9.0E-4,-0.7216,9.0E-4,0.6923,35.16,-5.4E-4,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956699463,-133.338,-0.47,-51.295,9.0E-4,-0.7216,9.0E-4,0.6923,35.52,-5.4E-4,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956699536,-133.021,-0.47,-51.281,9.0E-4,-0.7216,9.0E-4,0.6923,35.88,-5.4E-4,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956699607,-132.7,-0.47,-51.268,9.0E-4,-0.7216,9.0E-4,0.6923,36.2,2.2E-4,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956699684,-132.377,-0.47,-51.255,9.0E-4,-0.7217,9.0E-4,0.6923,36.47,2.2E-4,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956699932,-132.052,-0.47,-51.241,9.0E-4,-0.7217,9.0E-4,0.6923,36.71,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956699982,-131.724,-0.47,-51.228,9.0E-4,-0.7216,9.0E-4,0.6923,36.93,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956700039,-131.395,-0.47,-51.214,9.0E-4,-0.7216,9.0E-4,0.6923,37.16,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956700090,-131.064,-0.469,-51.2,9.0E-4,-0.7215,9.0E-4,0.6924,37.39,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956700149,-130.73,-0.469,-51.187,9.0E-4,-0.7215,9.0E-4,0.6924,37.62,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956700207,-130.395,-0.469,-51.173,9.0E-4,-0.7215,9.0E-4,0.6925,37.85,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956700263,-130.057,-0.469,-51.16,9.0E-4,-0.7214,9.0E-4,0.6925,38.08,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956700316,-129.718,-0.469,-51.146,9.0E-4,-0.7214,9.0E-4,0.6925,38.32,0.00186,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956700368,-129.376,-0.469,-51.132,9.0E-4,-0.7213,9.0E-4,0.6926,38.56,0.00186,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956700432,-129.032,-0.469,-51.118,9.0E-4,-0.7212,9.0E-4,0.6927,38.8,0.00266,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956700484,-128.686,-0.47,-51.105,9.0E-4,-0.7211,9.0E-4,0.6928,39.04,0.00266,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956700552,-128.338,-0.47,-51.091,9.0E-4,-0.721,9.0E-4,0.6929,39.29,0.00266,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956700622,-127.988,-0.469,-51.078,9.0E-4,-0.7209,9.0E-4,0.693,39.54,0.00595,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956700695,-127.635,-0.469,-51.064,9.0E-4,-0.7207,9.0E-4,0.6932,39.79,0.01248,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956700767,-127.28,-0.47,-51.052,9.0E-4,-0.7204,8.0E-4,0.6936,40.04,0.02145,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956700839,-126.923,-0.47,-51.041,0.001,-0.7197,7.0E-4,0.6943,40.29,0.02554,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956700912,-126.564,-0.47,-51.031,0.0011,-0.7187,7.0E-4,0.6953,40.55,0.02389,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473956700983,-126.202,-0.47,-51.023,0.0011,-0.7176,7.0E-4,0.6964,40.81,0.0206,0.9687495,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
