Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_09_15-16_36_56
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1473971816312,-135.478,-0.47,-50.584,0.001,-0.6857,8.0E-4,0.7279,64.98,0.00107,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473971816384,-134.9,-0.47,-50.62,0.001,-0.6855,9.0E-4,0.7281,65.3,-0.00133,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473971816454,-134.319,-0.47,-50.655,9.0E-4,-0.6854,9.0E-4,0.7281,65.61,-0.00377,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473971816529,-133.735,-0.47,-50.689,9.0E-4,-0.6856,9.0E-4,0.728,65.91,-0.00627,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473971816596,-133.148,-0.47,-50.723,8.0E-4,-0.6859,0.001,0.7277,66.22,-0.00871,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473971816669,-132.559,-0.47,-50.756,8.0E-4,-0.6865,0.001,0.7271,66.52,-0.01115,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473971816738,-131.967,-0.47,-50.788,7.0E-4,-0.6872,0.0011,0.7265,66.83,-0.01195,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473971816809,-131.372,-0.47,-50.818,7.0E-4,-0.6881,0.0011,0.7257,67.14,-0.01274,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473971816880,-130.774,-0.47,-50.847,7.0E-4,-0.689,0.0011,0.7248,67.45,-0.01274,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473971816953,-130.173,-0.47,-50.874,7.0E-4,-0.69,0.0011,0.7238,67.76,-0.01274,1.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
