Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_09_08-15_48_10
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1473364091045,-135.67,-0.469,-51.399,8.0E-4,-0.7065,7.0E-4,0.7077,44.25,0.00186,0.08595407,0.0,true,111.25,-1.0,0,2,-53.54,-48.35
1473364091101,-135.278,-0.469,-51.399,8.0E-4,-0.7064,7.0E-4,0.7078,44.14,0.00186,0.08595407,0.0,true,111.25,-1.0,0,2,-53.54,-48.35
1473364091157,-134.886,-0.469,-51.401,8.0E-4,-0.7063,7.0E-4,0.7079,44.04,0.00186,0.08595407,0.0,true,111.25,-1.0,0,2,-53.54,-48.35
1473364091209,-134.495,-0.469,-51.402,8.0E-4,-0.7062,7.0E-4,0.708,43.94,0.00186,0.08595406,0.0,true,111.25,-1.0,0,2,-53.54,-48.35
1473364091261,-134.105,-0.469,-51.403,8.0E-4,-0.7061,7.0E-4,0.7081,43.84,0.00186,0.08595407,0.0,true,111.26,-1.0,0,2,-53.54,-48.35
1473364091314,-133.716,-0.469,-51.404,8.0E-4,-0.706,7.0E-4,0.7082,43.74,0.00186,0.08595407,0.0,true,111.26,-1.0,0,2,-53.54,-48.35
1473364091376,-133.327,-0.469,-51.406,8.0E-4,-0.706,7.0E-4,0.7083,43.64,0.00186,0.08595407,0.0,true,111.26,-1.0,0,2,-53.54,-48.35
1473364091444,-132.94,-0.469,-51.407,8.0E-4,-0.7059,7.0E-4,0.7083,43.54,0.00186,0.1406424,0.0,true,111.26,-1.0,0,2,-53.54,-48.35
1473364091519,-132.553,-0.469,-51.409,8.0E-4,-0.7058,7.0E-4,0.7084,43.44,0.00186,0.20314336,0.0,true,111.26,-1.0,0,2,-53.54,-48.35
1473364091587,-132.168,-0.469,-51.411,8.0E-4,-0.7057,7.0E-4,0.7085,43.34,0.00186,0.2578317,0.0,true,111.26,-1.0,0,2,-53.54,-48.35
1473364091658,-131.783,-0.469,-51.413,8.0E-4,-0.7056,7.0E-4,0.7086,43.32,0.00186,0.2968948,0.0,true,111.27,-1.0,0,2,-53.54,-48.35
1473364091730,-131.397,-0.469,-51.415,8.0E-4,-0.7055,8.0E-4,0.7087,43.35,0.00186,0.3437705,0.0,true,111.27,-1.0,0,2,-53.54,-48.35
1473364091801,-131.012,-0.469,-51.417,8.0E-4,-0.7054,8.0E-4,0.7088,43.39,0.00186,0.4218967,0.0,true,111.27,-1.0,0,2,-53.54,-48.35
1473364091873,-130.626,-0.469,-51.419,8.0E-4,-0.7053,8.0E-4,0.7089,43.46,0.00107,0.47658506,0.0,true,111.27,-1.0,0,2,-53.54,-48.35
1473364091946,-130.239,-0.469,-51.421,8.0E-4,-0.7053,8.0E-4,0.709,43.55,0.00107,0.5156176,0.0,true,111.27,-1.0,0,2,-53.54,-48.35
1473364092017,-129.851,-0.469,-51.423,8.0E-4,-0.7052,8.0E-4,0.709,43.65,-5.4E-4,0.53905547,0.0,true,111.28,-1.0,0,2,-53.54,-48.35
1473364092087,-129.462,-0.469,-51.425,8.0E-4,-0.7052,8.0E-4,0.709,43.77,-5.4E-4,0.5937438,0.0,true,111.28,-1.0,0,2,-53.54,-48.35
1473364092159,-129.073,-0.469,-51.427,8.0E-4,-0.7052,8.0E-4,0.709,43.9,-5.4E-4,0.64843214,0.0,true,111.28,-1.0,0,2,-53.54,-48.35
1473364092228,-128.682,-0.469,-51.429,8.0E-4,-0.7052,8.0E-4,0.709,44.06,-5.4E-4,0.68749523,0.0,true,111.28,-1.0,0,2,-53.54,-48.35
1473364092302,-128.289,-0.469,-51.431,8.0E-4,-0.7052,9.0E-4,0.709,44.23,-5.4E-4,0.7265583,0.0,true,111.28,-1.0,0,2,-53.54,-48.35
1473364092374,-127.895,-0.469,-51.433,8.0E-4,-0.7053,9.0E-4,0.7089,44.42,-5.4E-4,0.7890593,0.0,true,111.29,-1.0,0,2,-53.54,-48.35
1473364092447,-127.499,-0.469,-51.435,9.0E-4,-0.7053,9.0E-4,0.7089,44.63,-5.4E-4,0.8437476,0.0,true,111.29,-1.0,0,2,-53.54,-48.35
1473364092522,-127.101,-0.469,-51.437,9.0E-4,-0.7053,9.0E-4,0.7089,44.86,-5.4E-4,0.90624857,0.0,true,111.29,-1.0,0,2,-53.54,-48.35
1473364092589,-126.701,-0.47,-51.439,9.0E-4,-0.7054,9.0E-4,0.7089,45.11,-0.00218,0.9296864,0.0,true,111.29,-1.0,0,2,-53.54,-48.35
1473364092661,-126.298,-0.47,-51.441,9.0E-4,-0.7054,9.0E-4,0.7088,45.39,-0.00298,0.9531243,0.0,true,111.29,-1.0,0,2,-53.54,-48.35
1473364092735,-125.893,-0.47,-51.443,9.0E-4,-0.7055,9.0E-4,0.7087,45.67,-0.00298,0.9687495,0.0,true,111.3,-1.0,0,2,-53.54,-48.35
1473364092805,-125.485,-0.47,-51.444,9.0E-4,-0.7057,9.0E-4,0.7085,45.96,-0.00298,0.9687495,0.0,true,111.3,-1.0,0,2,-53.54,-48.35
