Driving Task, assets/DrivingTasks/Projects/Idealtest2/idealtest2.xml
Date-Time, 2016_09_08-15_39_44
Driver, TestDriver
Used Format = Time (ms), Position_x , Position_y , Position_z , Rotation_x , Rotation_y , Rotation_z , Rotation_w , Speed (km/h) , Steering Wheel Position [-1 1] , Gas Pedal Position , Brake Pedal Position , Engine Running , Distance LeadingCar , Distance FollowerCar , Current RoadId , LaneId , Min Lane Point , Max Lane Point
1473363584495,-135.794,-0.469,-51.567,8.0E-4,-0.7063,7.0E-4,0.7079,38.59,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363584556,-135.452,-0.469,-51.568,8.0E-4,-0.7062,7.0E-4,0.7081,38.49,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363584613,-135.11,-0.469,-51.57,8.0E-4,-0.706,7.0E-4,0.7082,38.39,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363584667,-134.77,-0.469,-51.571,8.0E-4,-0.7059,7.0E-4,0.7083,38.29,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363584730,-134.43,-0.469,-51.573,8.0E-4,-0.7058,7.0E-4,0.7084,38.18,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363584798,-134.091,-0.469,-51.574,8.0E-4,-0.7057,7.0E-4,0.7085,38.08,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363584872,-133.753,-0.469,-51.576,8.0E-4,-0.7056,7.0E-4,0.7086,37.98,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363584946,-133.416,-0.469,-51.578,8.0E-4,-0.7055,7.0E-4,0.7087,37.88,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363585018,-133.08,-0.469,-51.58,8.0E-4,-0.7054,7.0E-4,0.7088,37.78,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363585091,-132.744,-0.469,-51.582,8.0E-4,-0.7053,7.0E-4,0.7089,37.68,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363585168,-132.41,-0.469,-51.584,8.0E-4,-0.7051,7.0E-4,0.7091,37.58,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363585237,-132.076,-0.469,-51.586,8.0E-4,-0.705,7.0E-4,0.7092,37.48,0.00266,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363585309,-131.744,-0.469,-51.588,8.0E-4,-0.7049,7.0E-4,0.7093,37.38,0.00107,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363585381,-131.412,-0.469,-51.591,8.0E-4,-0.7048,7.0E-4,0.7094,37.28,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363585451,-131.081,-0.469,-51.593,7.0E-4,-0.7048,8.0E-4,0.7094,37.18,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363585524,-130.751,-0.469,-51.595,7.0E-4,-0.7048,8.0E-4,0.7094,37.08,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363585598,-130.422,-0.469,-51.597,7.0E-4,-0.7049,8.0E-4,0.7093,36.97,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363585676,-130.094,-0.469,-51.599,7.0E-4,-0.7049,8.0E-4,0.7093,36.87,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
1473363585740,-129.767,-0.469,-51.601,8.0E-4,-0.7049,8.0E-4,0.7093,36.77,-5.4E-4,0.0,0.0,true,-1.0,-1.0,0,2,-53.54,-48.35
